idEstudiante;Nombre;Edad;Carrera;Nota1;Nota2;Nota3;Promedio;Desempeño
;Paula;21;Fisica;4;4,5;3;3,8;Bueno
;Ana;18;Ingenieria;2;5;3;3,3;Regular
;Maria;23;Ingenieria;5;4,5;3;4,2;Bueno
;Luis;22;Matematicas;2;3,5;4;3,2;Regular
;Ana;21;Ingenieria;5;5;5;5;Excelente
;Maria;23;Ingenieria;4;3;3;3,3;Regular
;Ana;20;Fisica;2;3;3;2,7;Regular
;Luis;20;Ingenieria;4;2,5;4;3,5;Bueno
;Luis;23;Fisica;4;3;2;3;Regular
;Luis;22;Ingenieria;3,5;3;2;2,8;Regular
;Ana;20;Fisica;5;3;2;3,3;Regular
;Carlos;19;Fisica;4;2,5;2;2,8;Regular
;Luis;21;Fisica;2;5;5;4;Bueno
;Maria;22;Fisica;5;2,5;2;3,2;Regular
;Jose;18;Fisica;4;3,5;2;3,2;Regular
;Paula;21;Fisica;5;4,5;2;3,8;Bueno
;Luis;22;Ingenieria;2;3;2;2,3;Deficiente
;Maria;22;Matematicas;5;5;2;4;Bueno
;Luis;20;Matematicas;5;4,5;5;4,8;Excelente
;Ana;22;Ingenieria;2;3;4;3;Regular
;Ana;20;Fisica;3,5;5;2;3,5;Bueno
;Carlos;20;Ingenieria;2;4,5;5;3,8;Bueno
;Luis;23;Fisica;3,5;2,5;5;3,7;Bueno
;Ana;21;Ingenieria;3,5;5;4;4,2;Bueno
;Carlos;19;Matematicas;4;3;3;3,3;Regular
;Maria;18;Fisica;3,5;3;5;3,8;Bueno
;Carlos;22;Matematicas;3,5;4,5;2;3,3;Regular
;Luis;21;Ingenieria;2;3;5;3,3;Regular
;Jose;20;Matematicas;4;3;3;3,3;Regular
;Ana;19;Ingenieria;3,5;2,5;3;3;Regular
;Maria;18;Ingenieria;5;4,5;4;4,5;Excelente
;Maria;23;Fisica;2;3;4;3;Regular
;Jose;18;Matematicas;5;3,5;4;4,2;Bueno
;Ana;18;Matematicas;5;2,5;5;4,2;Bueno
;Jose;20;Fisica;2;2,5;2;2,2;Deficiente
;Paula;23;Fisica;5;5;3;4,3;Bueno
;Jose;18;Fisica;4;3,5;3;3,5;Bueno
;Ana;21;Fisica;5;3,5;5;4,5;Excelente
;Ana;22;Ingenieria;3,5;5;2;3,5;Bueno
;Ana;23;Fisica;3,5;2,5;2;2,7;Regular
;Luis;18;Fisica;3,5;3,5;4;3,7;Bueno
;Luis;23;Fisica;3,5;4,5;3;3,7;Bueno
;Ana;22;Fisica;2;5;3;3,3;Regular
;Maria;21;Fisica;5;5;4;4,7;Excelente
;Paula;20;Matematicas;2;3;2;2,3;Deficiente
;Ana;18;Fisica;5;2,5;2;3,2;Regular
